geoid,households_total,households_0_10k,households_10_15k,households_15_20k,households_20_25k,households_25_30k,households_30_35k,households_35_40k,households_40_45k,households_45_50k,households_50_60k,households_60_75k,households_75_100k,households_100_125k,households_125_150k,households_150_200k,households_200k_plus
480270202011,736,13,0,13,0,0,15,28,0,28,66,118,9,106,109,48,183
480270202012,1717,21,15,31,58,42,58,34,72,164,151,150,381,120,108,163,149
480270202021,1055,29,15,24,48,75,41,89,40,58,82,168,182,61,65,66,12
480270202022,911,17,0,69,16,0,50,13,45,16,69,139,209,155,58,0,55
480270202023,438,101,0,19,74,0,42,37,0,0,14,45,57,0,13,23,13
480270203001,913,64,0,76,0,59,0,0,34,79,51,238,116,72,0,84,40
480270203002,2360,63,95,32,33,30,17,52,110,47,237,448,374,253,336,180,53
480270204011,346,18,36,29,46,8,28,6,26,22,15,43,31,17,21,0,0
480270204012,840,33,0,56,92,81,125,11,13,67,87,112,74,40,0,41,8
480270204021,901,99,35,74,23,58,57,38,62,48,106,127,63,70,23,18,0
480270205001,354,12,0,0,15,22,29,8,42,7,39,17,87,33,26,11,6
480270205002,569,10,39,14,70,11,66,26,41,17,17,70,135,32,0,15,6
480270205003,398,47,33,40,48,16,23,28,52,6,47,32,26,0,0,0,0
480270206001,361,44,6,0,50,38,42,25,9,22,17,0,28,13,0,21,46
480270206002,318,39,28,0,4,9,4,17,0,26,55,32,57,26,0,14,7
480270206003,247,0,33,9,32,11,11,14,9,4,0,56,35,15,0,18,0
480270207011,298,122,53,45,7,20,0,0,0,0,0,8,43,0,0,0,0
480270207012,446,116,88,38,29,34,7,20,38,10,8,24,0,5,10,7,12
480270207021,323,48,26,41,52,7,18,12,22,5,8,57,22,0,5,0,0
480270207022,287,27,31,26,62,30,19,4,23,10,25,13,6,11,0,0,0
480270208001,365,54,0,21,26,33,21,60,0,7,21,66,35,0,0,21,0
480270208002,285,100,36,40,40,0,0,0,6,8,30,0,16,0,0,0,9
480270208003,458,38,7,86,71,70,57,7,21,41,13,24,9,0,0,14,0
480270209001,615,160,77,61,58,67,0,26,16,13,49,49,34,0,5,0,0
480270209002,271,40,0,7,46,21,53,0,32,7,34,5,0,0,0,0,26
